Generation,Individual_ID,Initial_Loss,Peak_Loss,Boundary_Loss,PDE_Loss,Trace_Loss
40,76,0.06470184955154494,0.002314922937369865,9.805727548887262e-08,0.0,0.00025551490369945634
40,77,0.06469729817105908,0.02886302932086934,0.0,0.0,0.0002561825904936587
40,78,0.06416148023437258,0.00018269052008175086,8.009123072235299e-08,0.0,0.00025766241502329977
40,79,0.06404233779476902,0.017328280091995926,0.0,0.0,0.00025664027277566884
40,80,0.06314283658966906,0.0033335174854708604,3.409563822703511e-08,0.0,0.00025692241647419414
40,81,0.06296365675100554,0.021765964174079028,4.276907215648761e-08,0.0,0.00025663389132957225
40,82,0.08503735710114521,0.0030906927929751746,0.0,0.0,0.00025664407114280084
40,83,0.09718689359661843,6.781328545865468e-07,1.1318383317802966e-07,0.0,0.00026065108369605425
40,84,0.09702906907915113,0.0015841477292683093,1.1677482754436063e-07,0.0,0.0002543837948185114
40,85,0.091096760358284,2.3546057732063113e-06,9.143054231382923e-08,0.0,0.00025686336370205005
40,86,0.09016027402908106,3.0479171674371317e-05,0.0,0.0,0.0002566991625242715
40,87,0.0890852248744673,1.1122609810717049e-05,3.865924920704309e-08,0.0,0.0002586433075778494
40,88,0.0877411960073238,0.00016523228939396042,0.0,0.0,0.0002561250106347825
