Generation,Individual_ID,Initial_Loss,Peak_Loss,Boundary_Loss,Data_Loss,PDE_Loss
6,7,0.06499787480009986,2.9886105446816563e-06,0.0,0.038420220218303915,0.0
6,8,0.05850049416277153,2.587035569225639e-05,0.0,0.04433506645672012,0.0
6,9,0.06105543317035994,0.00026677011168401197,0.0,0.03036417029586423,0.0
6,10,0.06738620568982928,3.522307235690697e-05,0.0,0.022431560654596894,0.0
6,11,0.05650248508783541,0.00017416943407679738,0.0,0.07429257116365681,0.0
6,12,1.2345210420142265,7.284777393079528e-09,0.0,1.9162034326048978,0.0
6,13,0.05327999061111997,0.0004519715956373837,0.0,0.03161060345967665,0.0
6,14,0.049554786877966224,0.0012918068177687802,0.0,0.019114269384229256,0.0
7,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
7,1,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
7,2,0.04652259779661934,0.008786171875422251,0.0,0.022273966406972608,0.0
7,3,0.048484646368336326,0.0018420613198837827,0.0,0.026507419437949452,0.0
7,4,0.057385629429132584,0.0001470946479121431,0.0,0.03111535798966649,0.0
7,5,0.041696840476277176,0.0016339876591201904,0.0,0.028924010755379155,0.0
7,6,0.06499787480009986,2.9886105446816563e-06,0.0,0.038420220218303915,0.0
7,7,0.06105543317035994,0.00026677011168401197,0.0,0.03036417029586423,0.0
7,8,0.06738620568982928,3.522307235690697e-05,0.0,0.022431560654596894,0.0
7,9,1.2345210420142265,7.284777393079528e-09,0.0,1.9162034326048978,0.0
7,10,0.05327999061111997,0.0004519715956373837,0.0,0.03161060345967665,0.0
7,11,0.049554786877966224,0.0012918068177687802,0.0,0.019114269384229256,0.0
7,12,0.05566115696101313,0.00048276112424982105,0.0,0.031149989505655562,0.0
7,13,0.0632763538801743,0.00011326789487857157,0.0,0.024712580524711068,0.0
7,14,0.055695604312514274,0.0001210661591044769,0.0,0.03739956361960115,0.0
7,15,0.055437208735699,1.5572818889337164e-05,0.0,0.04280640710130943,0.0
7,16,0.05060630646466336,0.0012593214394961934,0.0,0.061606039713266905,0.0
7,17,0.06839962061501852,2.59145862814329e-05,0.0,0.03169696372741281,0.0
8,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
8,1,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
8,2,0.04652259779661934,0.008786171875422251,0.0,0.022273966406972608,0.0
8,3,0.048484646368336326,0.0018420613198837827,0.0,0.026507419437949452,0.0
8,4,0.057385629429132584,0.0001470946479121431,0.0,0.03111535798966649,0.0
8,5,0.041696840476277176,0.0016339876591201904,0.0,0.028924010755379155,0.0
8,6,0.06499787480009986,2.9886105446816563e-06,0.0,0.038420220218303915,0.0
8,7,0.06738620568982928,3.522307235690697e-05,0.0,0.022431560654596894,0.0
8,8,1.2345210420142265,7.284777393079528e-09,0.0,1.9162034326048978,0.0
8,9,0.049554786877966224,0.0012918068177687802,0.0,0.019114269384229256,0.0
8,10,0.0632763538801743,0.00011326789487857157,0.0,0.024712580524711068,0.0
8,11,0.055695604312514274,0.0001210661591044769,0.0,0.03739956361960115,0.0
8,12,0.055437208735699,1.5572818889337164e-05,0.0,0.04280640710130943,0.0
8,13,0.06839962061501852,2.59145862814329e-05,0.0,0.03169696372741281,0.0
8,14,1.8431937245736791,7.625325070145821e-08,0.0,1.5137604774815194,0.0
8,15,0.06082198875440034,0.00020227343340529117,0.0,0.027934379936633176,0.0
8,16,0.04620743963545977,0.0002053359593188189,0.0,0.030680102910337747,0.0
8,17,0.060166697001232554,0.0012048055003093215,0.0,0.027379587580412916,0.0
9,0,0.04091088497501105,0.004787519882842115,0.0,0.025746106589970858,0.0
9,1,5.029470681378307,8.489980328243507e-07,0.0,0.18350208951901953,0.0
9,2,0.04652259779661934,0.008786171875422251,0.0,0.022273966406972608,0.0
9,3,0.048484646368336326,0.0018420613198837827,0.0,0.026507419437949452,0.0
